agent_id,algo,score,timer,reason,steps,space,step_index,x,y
1,hc,1000,300,normal,25,0,0,1,4
1,hc,1000,300,normal,25,0,1,2,4
1,hc,1000,300,normal,25,0,2,3,4
1,hc,1000,300,normal,25,0,3,4,4
1,hc,1000,300,normal,25,0,4,5,4
1,hc,1000,300,normal,25,0,5,6,4
1,hc,1000,300,normal,25,0,6,7,4
1,hc,1000,300,normal,25,0,7,8,4
1,hc,1000,300,normal,25,0,8,9,4
1,hc,1000,300,normal,25,0,9,10,4
1,hc,1000,300,normal,25,0,10,11,4
1,hc,1000,300,normal,25,0,11,12,4
1,hc,1000,300,normal,25,0,12,13,4
1,hc,1000,300,normal,25,0,13,14,4
1,hc,1000,300,normal,25,0,14,15,4
1,hc,1000,300,normal,25,0,15,16,4
1,hc,1000,300,normal,25,0,16,17,4
1,hc,1000,300,normal,25,0,17,18,4
1,hc,1000,300,normal,25,0,18,19,4
1,hc,1000,300,normal,25,0,19,19,3
1,hc,1000,300,normal,25,0,20,20,3
1,hc,1000,300,normal,25,0,21,21,3
1,hc,1000,300,normal,25,0,22,22,3
1,hc,1000,300,normal,25,0,23,23,3
1,hc,1000,300,normal,25,0,24,24,3
1,hc,1000,300,normal,25,0,25,24,2
2,shc,1000,300,normal,12,0,0,1,4
2,shc,1000,300,normal,12,0,1,2,4
2,shc,1000,300,normal,12,0,2,3,4
2,shc,1000,300,normal,12,0,3,4,4
2,shc,1000,300,normal,12,0,4,4,3
2,shc,1000,300,normal,12,0,5,4,2
2,shc,1000,300,normal,12,0,6,5,2
2,shc,1000,300,normal,12,0,7,6,2
2,shc,1000,300,normal,12,0,8,7,2
2,shc,1000,300,normal,12,0,9,8,2
2,shc,1000,300,normal,12,0,10,9,2
2,shc,1000,300,normal,12,0,11,10,2
3,sa,1000,300,normal,601,0,0,1,4
3,sa,1000,300,normal,601,0,1,2,4
3,sa,1000,300,normal,601,0,2,2,5
3,sa,1000,300,normal,601,0,3,3,5
3,sa,1000,300,normal,601,0,4,2,5
3,sa,1000,300,normal,601,0,5,1,5
3,sa,1000,300,normal,601,0,6,1,4
3,sa,1000,300,normal,601,0,7,1,3
3,sa,1000,300,normal,601,0,8,2,3
3,sa,1000,300,normal,601,0,9,1,3
3,sa,1000,300,normal,601,0,10,2,3
3,sa,1000,300,normal,601,0,11,2,2
3,sa,1000,300,normal,601,0,12,2,1
3,sa,1000,300,normal,601,0,13,2,0
3,sa,1000,300,normal,601,0,14,1,0
3,sa,1000,300,normal,601,0,15,1,1
3,sa,1000,300,normal,601,0,16,2,1
3,sa,1000,300,normal,601,0,17,2,0
3,sa,1000,300,normal,601,0,18,2,1
3,sa,1000,300,normal,601,0,19,3,1
3,sa,1000,300,normal,601,0,20,2,1
3,sa,1000,300,normal,601,0,21,1,1
3,sa,1000,300,normal,601,0,22,1,2
3,sa,1000,300,normal,601,0,23,2,2
3,sa,1000,300,normal,601,0,24,2,1
3,sa,1000,300,normal,601,0,25,3,1
3,sa,1000,300,normal,601,0,26,3,0
3,sa,1000,300,normal,601,0,27,3,1
3,sa,1000,300,normal,601,0,28,3,2
3,sa,1000,300,normal,601,0,29,4,2
3,sa,1000,300,normal,601,0,30,5,2
3,sa,1000,300,normal,601,0,31,4,2
3,sa,1000,300,normal,601,0,32,4,1
3,sa,1000,300,normal,601,0,33,5,1
3,sa,1000,300,normal,601,0,34,5,2
3,sa,1000,300,normal,601,0,35,5,1
3,sa,1000,300,normal,601,0,36,4,1
3,sa,1000,300,normal,601,0,37,5,1
3,sa,1000,300,normal,601,0,38,4,1
3,sa,1000,300,normal,601,0,39,3,1
3,sa,1000,300,normal,601,0,40,4,1
3,sa,1000,300,normal,601,0,41,5,1
3,sa,1000,300,normal,601,0,42,6,1
3,sa,1000,300,normal,601,0,43,6,2
3,sa,1000,300,normal,601,0,44,6,1
3,sa,1000,300,normal,601,0,45,5,1
3,sa,1000,300,normal,601,0,46,4,1
3,sa,1000,300,normal,601,0,47,5,1
3,sa,1000,300,normal,601,0,48,6,1
3,sa,1000,300,normal,601,0,49,6,2
3,sa,1000,300,normal,601,0,50,6,3
3,sa,1000,300,normal,601,0,51,5,3
3,sa,1000,300,normal,601,0,52,6,3
3,sa,1000,300,normal,601,0,53,5,3
3,sa,1000,300,normal,601,0,54,6,3
3,sa,1000,300,normal,601,0,55,6,2
3,sa,1000,300,normal,601,0,56,5,2
3,sa,1000,300,normal,601,0,57,5,1
3,sa,1000,300,normal,601,0,58,6,1
3,sa,1000,300,normal,601,0,59,6,0
3,sa,1000,300,normal,601,0,60,6,1
3,sa,1000,300,normal,601,0,61,6,2
3,sa,1000,300,normal,601,0,62,5,2
3,sa,1000,300,normal,601,0,63,5,3
3,sa,1000,300,normal,601,0,64,5,4
3,sa,1000,300,normal,601,0,65,4,4
3,sa,1000,300,normal,601,0,66,4,5
3,sa,1000,300,normal,601,0,67,4,6
3,sa,1000,300,normal,601,0,68,4,5
3,sa,1000,300,normal,601,0,69,4,6
3,sa,1000,300,normal,601,0,70,4,5
3,sa,1000,300,normal,601,0,71,4,6
3,sa,1000,300,normal,601,0,72,4,5
3,sa,1000,300,normal,601,0,73,4,4
3,sa,1000,300,normal,601,0,74,4,3
3,sa,1000,300,normal,601,0,75,5,3
3,sa,1000,300,normal,601,0,76,4,3
3,sa,1000,300,normal,601,0,77,4,4
3,sa,1000,300,normal,601,0,78,5,4
3,sa,1000,300,normal,601,0,79,6,4
3,sa,1000,300,normal,601,0,80,6,5
3,sa,1000,300,normal,601,0,81,6,4
3,sa,1000,300,normal,601,0,82,6,5
3,sa,1000,300,normal,601,0,83,5,5
3,sa,1000,300,normal,601,0,84,6,5
3,sa,1000,300,normal,601,0,85,6,4
3,sa,1000,300,normal,601,0,86,6,3
3,sa,1000,300,normal,601,0,87,7,3
3,sa,1000,300,normal,601,0,88,7,4
3,sa,1000,300,normal,601,0,89,7,3
3,sa,1000,300,normal,601,0,90,7,4
3,sa,1000,300,normal,601,0,91,7,5
3,sa,1000,300,normal,601,0,92,7,6
3,sa,1000,300,normal,601,0,93,8,6
3,sa,1000,300,normal,601,0,94,7,6
3,sa,1000,300,normal,601,0,95,8,6
3,sa,1000,300,normal,601,0,96,9,6
3,sa,1000,300,normal,601,0,97,8,6
3,sa,1000,300,normal,601,0,98,8,5
3,sa,1000,300,normal,601,0,99,9,5
3,sa,1000,300,normal,601,0,100,10,5
3,sa,1000,300,normal,601,0,101,11,5
3,sa,1000,300,normal,601,0,102,11,4
3,sa,1000,300,normal,601,0,103,12,4
3,sa,1000,300,normal,601,0,104,11,4
3,sa,1000,300,normal,601,0,105,10,4
3,sa,1000,300,normal,601,0,106,11,4
3,sa,1000,300,normal,601,0,107,11,5
3,sa,1000,300,normal,601,0,108,10,5
3,sa,1000,300,normal,601,0,109,10,4
3,sa,1000,300,normal,601,0,110,9,4
3,sa,1000,300,normal,601,0,111,9,3
3,sa,1000,300,normal,601,0,112,9,4
3,sa,1000,300,normal,601,0,113,8,4
3,sa,1000,300,normal,601,0,114,9,4
3,sa,1000,300,normal,601,0,115,8,4
3,sa,1000,300,normal,601,0,116,8,5
3,sa,1000,300,normal,601,0,117,7,5
3,sa,1000,300,normal,601,0,118,7,6
3,sa,1000,300,normal,601,0,119,6,6
3,sa,1000,300,normal,601,0,120,7,6
3,sa,1000,300,normal,601,0,121,7,5
3,sa,1000,300,normal,601,0,122,8,5
3,sa,1000,300,normal,601,0,123,8,4
3,sa,1000,300,normal,601,0,124,7,4
3,sa,1000,300,normal,601,0,125,7,5
3,sa,1000,300,normal,601,0,126,7,4
3,sa,1000,300,normal,601,0,127,8,4
3,sa,1000,300,normal,601,0,128,8,3
3,sa,1000,300,normal,601,0,129,9,3
3,sa,1000,300,normal,601,0,130,8,3
3,sa,1000,300,normal,601,0,131,7,3
3,sa,1000,300,normal,601,0,132,7,2
3,sa,1000,300,normal,601,0,133,6,2
3,sa,1000,300,normal,601,0,134,5,2
3,sa,1000,300,normal,601,0,135,4,2
3,sa,1000,300,normal,601,0,136,4,1
3,sa,1000,300,normal,601,0,137,3,1
3,sa,1000,300,normal,601,0,138,4,1
3,sa,1000,300,normal,601,0,139,4,2
3,sa,1000,300,normal,601,0,140,5,2
3,sa,1000,300,normal,601,0,141,6,2
3,sa,1000,300,normal,601,0,142,6,3
3,sa,1000,300,normal,601,0,143,5,3
3,sa,1000,300,normal,601,0,144,5,2
3,sa,1000,300,normal,601,0,145,5,1
3,sa,1000,300,normal,601,0,146,6,1
3,sa,1000,300,normal,601,0,147,5,1
3,sa,1000,300,normal,601,0,148,6,1
3,sa,1000,300,normal,601,0,149,6,2
3,sa,1000,300,normal,601,0,150,6,3
3,sa,1000,300,normal,601,0,151,5,3
3,sa,1000,300,normal,601,0,152,5,4
3,sa,1000,300,normal,601,0,153,6,4
3,sa,1000,300,normal,601,0,154,7,4
3,sa,1000,300,normal,601,0,155,8,4
3,sa,1000,300,normal,601,0,156,8,3
3,sa,1000,300,normal,601,0,157,9,3
3,sa,1000,300,normal,601,0,158,10,3
3,sa,1000,300,normal,601,0,159,11,3
3,sa,1000,300,normal,601,0,160,10,3
3,sa,1000,300,normal,601,0,161,10,4
3,sa,1000,300,normal,601,0,162,10,5
3,sa,1000,300,normal,601,0,163,9,5
3,sa,1000,300,normal,601,0,164,10,5
3,sa,1000,300,normal,601,0,165,11,5
3,sa,1000,300,normal,601,0,166,12,5
3,sa,1000,300,normal,601,0,167,12,6
3,sa,1000,300,normal,601,0,168,11,6
3,sa,1000,300,normal,601,0,169,10,6
3,sa,1000,300,normal,601,0,170,10,5
3,sa,1000,300,normal,601,0,171,9,5
3,sa,1000,300,normal,601,0,172,8,5
3,sa,1000,300,normal,601,0,173,8,4
3,sa,1000,300,normal,601,0,174,8,5
3,sa,1000,300,normal,601,0,175,8,4
3,sa,1000,300,normal,601,0,176,9,4
3,sa,1000,300,normal,601,0,177,10,4
3,sa,1000,300,normal,601,0,178,10,3
3,sa,1000,300,normal,601,0,179,9,3
3,sa,1000,300,normal,601,0,180,8,3
3,sa,1000,300,normal,601,0,181,8,2
3,sa,1000,300,normal,601,0,182,7,2
3,sa,1000,300,normal,601,0,183,8,2
3,sa,1000,300,normal,601,0,184,7,2
3,sa,1000,300,normal,601,0,185,8,2
3,sa,1000,300,normal,601,0,186,8,1
3,sa,1000,300,normal,601,0,187,8,0
3,sa,1000,300,normal,601,0,188,8,1
3,sa,1000,300,normal,601,0,189,9,1
3,sa,1000,300,normal,601,0,190,9,0
3,sa,1000,300,normal,601,0,191,10,0
3,sa,1000,300,normal,601,0,192,10,1
3,sa,1000,300,normal,601,0,193,9,1
3,sa,1000,300,normal,601,0,194,10,1
3,sa,1000,300,normal,601,0,195,10,2
3,sa,1000,300,normal,601,0,196,10,3
3,sa,1000,300,normal,601,0,197,11,3
3,sa,1000,300,normal,601,0,198,11,4
3,sa,1000,300,normal,601,0,199,12,4
3,sa,1000,300,normal,601,0,200,12,3
3,sa,1000,300,normal,601,0,201,12,2
3,sa,1000,300,normal,601,0,202,12,3
3,sa,1000,300,normal,601,0,203,12,2
3,sa,1000,300,normal,601,0,204,12,3
3,sa,1000,300,normal,601,0,205,12,2
3,sa,1000,300,normal,601,0,206,12,3
3,sa,1000,300,normal,601,0,207,12,2
3,sa,1000,300,normal,601,0,208,12,3
3,sa,1000,300,normal,601,0,209,12,4
3,sa,1000,300,normal,601,0,210,12,3
3,sa,1000,300,normal,601,0,211,12,4
3,sa,1000,300,normal,601,0,212,13,4
3,sa,1000,300,normal,601,0,213,13,5
3,sa,1000,300,normal,601,0,214,13,4
3,sa,1000,300,normal,601,0,215,14,4
3,sa,1000,300,normal,601,0,216,15,4
3,sa,1000,300,normal,601,0,217,15,3
3,sa,1000,300,normal,601,0,218,14,3
3,sa,1000,300,normal,601,0,219,14,4
3,sa,1000,300,normal,601,0,220,14,5
3,sa,1000,300,normal,601,0,221,14,6
3,sa,1000,300,normal,601,0,222,13,6
3,sa,1000,300,normal,601,0,223,13,5
3,sa,1000,300,normal,601,0,224,13,4
3,sa,1000,300,normal,601,0,225,12,4
3,sa,1000,300,normal,601,0,226,11,4
3,sa,1000,300,normal,601,0,227,10,4
3,sa,1000,300,normal,601,0,228,9,4
3,sa,1000,300,normal,601,0,229,8,4
3,sa,1000,300,normal,601,0,230,9,4
3,sa,1000,300,normal,601,0,231,9,5
3,sa,1000,300,normal,601,0,232,9,6
3,sa,1000,300,normal,601,0,233,8,6
3,sa,1000,300,normal,601,0,234,9,6
3,sa,1000,300,normal,601,0,235,10,6
3,sa,1000,300,normal,601,0,236,10,5
3,sa,1000,300,normal,601,0,237,9,5
3,sa,1000,300,normal,601,0,238,9,6
3,sa,1000,300,normal,601,0,239,8,6
3,sa,1000,300,normal,601,0,240,7,6
3,sa,1000,300,normal,601,0,241,7,5
3,sa,1000,300,normal,601,0,242,8,5
3,sa,1000,300,normal,601,0,243,8,4
3,sa,1000,300,normal,601,0,244,8,3
3,sa,1000,300,normal,601,0,245,8,4
3,sa,1000,300,normal,601,0,246,9,4
3,sa,1000,300,normal,601,0,247,9,3
3,sa,1000,300,normal,601,0,248,10,3
3,sa,1000,300,normal,601,0,249,10,4
3,sa,1000,300,normal,601,0,250,9,4
3,sa,1000,300,normal,601,0,251,8,4
3,sa,1000,300,normal,601,0,252,8,3
3,sa,1000,300,normal,601,0,253,8,2
3,sa,1000,300,normal,601,0,254,8,3
3,sa,1000,300,normal,601,0,255,9,3
3,sa,1000,300,normal,601,0,256,9,2
3,sa,1000,300,normal,601,0,257,9,3
3,sa,1000,300,normal,601,0,258,9,2
3,sa,1000,300,normal,601,0,259,8,2
3,sa,1000,300,normal,601,0,260,9,2
3,sa,1000,300,normal,601,0,261,9,3
3,sa,1000,300,normal,601,0,262,9,4
3,sa,1000,300,normal,601,0,263,8,4
3,sa,1000,300,normal,601,0,264,8,5
3,sa,1000,300,normal,601,0,265,8,4
3,sa,1000,300,normal,601,0,266,8,3
3,sa,1000,300,normal,601,0,267,7,3
3,sa,1000,300,normal,601,0,268,6,3
3,sa,1000,300,normal,601,0,269,6,4
3,sa,1000,300,normal,601,0,270,5,4
3,sa,1000,300,normal,601,0,271,5,5
3,sa,1000,300,normal,601,0,272,6,5
3,sa,1000,300,normal,601,0,273,5,5
3,sa,1000,300,normal,601,0,274,5,4
3,sa,1000,300,normal,601,0,275,5,3
3,sa,1000,300,normal,601,0,276,5,2
3,sa,1000,300,normal,601,0,277,6,2
3,sa,1000,300,normal,601,0,278,6,3
3,sa,1000,300,normal,601,0,279,6,2
3,sa,1000,300,normal,601,0,280,6,1
3,sa,1000,300,normal,601,0,281,5,1
3,sa,1000,300,normal,601,0,282,6,1
