agent_id,algo,score,timer,reason,steps,space,step_index,x,y
1,hc,999,299,normal,16,15,0,19,6
1,hc,998,298,normal,16,15,1,19,5
1,hc,997,297,normal,16,15,2,19,4
1,hc,996,296,normal,16,15,3,19,3
1,hc,995,295,normal,16,15,4,20,3
1,hc,994,294,normal,16,15,5,21,3
1,hc,993,293,normal,16,15,6,22,3
1,hc,992,292,normal,16,15,7,23,3
1,hc,991,291,normal,16,15,8,24,3
1,hc,990,290,normal,16,15,9,25,3
1,hc,989,289,normal,16,15,10,26,3
1,hc,988,288,normal,16,15,11,27,3
1,hc,987,287,normal,16,15,12,28,3
1,hc,986,286,normal,16,15,13,28,2
1,hc,985,285,normal,16,15,14,29,2
1,hc,984,284,goal,16,15,15,30,2
2,shc,999,299,normal,254,51,0,19,6
2,shc,998,298,normal,254,51,1,19,5
2,shc,997,297,normal,254,51,2,19,4
2,shc,996,296,normal,254,51,3,19,3
2,shc,995,295,normal,254,51,4,20,3
2,shc,994,294,normal,254,51,5,21,3
2,shc,993,293,normal,254,51,6,22,3
2,shc,992,292,normal,254,51,7,23,3
2,shc,991,291,normal,254,51,8,24,3
2,shc,990,290,normal,254,51,9,25,3
2,shc,989,289,normal,254,51,10,25,2
2,shc,988,288,normal,254,51,11,26,2
2,shc,987,287,normal,254,51,12,27,2
2,shc,986,286,normal,254,51,13,28,2
2,shc,985,285,normal,254,51,14,29,2
2,shc,984,284,goal,254,51,15,30,2
3,sa,999,299,normal,27,0,0,19,6
3,sa,998,298,normal,27,0,1,19,5
3,sa,997,297,normal,27,0,2,19,4
3,sa,996,296,normal,27,0,3,19,3
3,sa,995,295,normal,27,0,4,20,3
3,sa,994,294,normal,27,0,5,21,3
3,sa,993,293,normal,27,0,6,22,3
3,sa,992,292,normal,27,0,7,23,3
3,sa,991,291,normal,27,0,8,24,3
3,sa,990,290,normal,27,0,9,25,3
3,sa,989,289,normal,27,0,10,25,2
3,sa,988,288,normal,27,0,11,24,2
3,sa,987,287,normal,27,0,12,23,2
3,sa,986,286,normal,27,0,13,23,3
3,sa,985,285,normal,27,0,14,23,4
3,sa,984,284,normal,27,0,15,24,4
3,sa,983,283,normal,27,0,16,24,5
3,sa,982,282,normal,27,0,17,23,5
3,sa,981,281,normal,27,0,18,23,4
3,sa,980,280,normal,27,0,19,24,4
3,sa,979,279,normal,27,0,20,24,3
3,sa,978,278,normal,27,0,21,24,2
3,sa,977,277,normal,27,0,22,25,2
3,sa,976,276,normal,27,0,23,26,2
3,sa,975,275,normal,27,0,24,27,2
3,sa,974,274,normal,27,0,25,28,2
3,sa,973,273,normal,27,0,26,29,2
3,sa,972,272,goal,27,0,27,30,2
