agent_id,algo,score,timer,reason,steps,space,step_index,x,y
1,hc,1000,300,normal,19,17,0,14,0
1,hc,1000,300,normal,19,17,1,15,0
1,hc,1000,300,normal,19,17,2,16,0
1,hc,1000,300,normal,19,17,3,17,0
1,hc,1000,300,normal,19,17,4,18,0
1,hc,1000,300,normal,19,17,5,19,0
1,hc,1000,300,normal,19,17,6,19,1
1,hc,1000,300,normal,19,17,7,19,2
1,hc,1000,300,normal,19,17,8,19,3
1,hc,1000,300,normal,19,17,9,20,3
1,hc,1000,300,normal,19,17,10,21,3
1,hc,1000,300,normal,19,17,11,22,3
1,hc,1000,300,normal,19,17,12,23,3
1,hc,1000,300,normal,19,17,13,24,3
1,hc,1000,300,normal,19,17,14,25,3
1,hc,1000,300,normal,19,17,15,26,3
1,hc,1000,300,normal,19,17,16,26,4
1,hc,1000,300,normal,19,17,17,26,5
1,hc,1000,300,normal,19,17,18,26,6
2,shc,1000,300,normal,8147,4000,0,14,0
2,shc,1000,300,normal,8147,4000,1,14,1
2,shc,1000,300,normal,8147,4000,2,15,1
2,shc,1000,300,normal,8147,4000,3,16,1
2,shc,1000,300,normal,8147,4000,4,17,1
2,shc,1000,300,normal,8147,4000,5,18,1
2,shc,1000,300,normal,8147,4000,6,19,1
2,shc,1000,300,normal,8147,4000,7,19,2
2,shc,1000,300,normal,8147,4000,8,19,3
2,shc,1000,300,normal,8147,4000,9,19,4
2,shc,1000,300,normal,8147,4000,10,18,4
2,shc,1000,300,normal,8147,4000,11,18,5
2,shc,1000,300,normal,8147,4000,12,18,6
2,shc,1000,300,normal,8147,4000,13,19,6
2,shc,1000,300,normal,8147,4000,14,18,6
2,shc,1000,300,normal,8147,4000,15,19,6
2,shc,1000,300,normal,8147,4000,16,18,6
2,shc,1000,300,normal,8147,4000,17,19,6
2,shc,1000,300,normal,8147,4000,18,18,6
2,shc,1000,300,normal,8147,4000,19,19,6
3,sa,1000,300,normal,87,0,0,14,0
3,sa,1000,300,normal,87,0,1,14,1
3,sa,1000,300,normal,87,0,2,14,2
3,sa,1000,300,normal,87,0,3,13,2
3,sa,1000,300,normal,87,0,4,13,3
3,sa,1000,300,normal,87,0,5,12,3
3,sa,1000,300,normal,87,0,6,12,4
3,sa,1000,300,normal,87,0,7,11,4
3,sa,1000,300,normal,87,0,8,10,4
3,sa,1000,300,normal,87,0,9,10,5
3,sa,1000,300,normal,87,0,10,10,6
3,sa,1000,300,normal,87,0,11,11,6
3,sa,1000,300,normal,87,0,12,12,6
3,sa,1000,300,normal,87,0,13,13,6
3,sa,1000,300,normal,87,0,14,13,5
3,sa,1000,300,normal,87,0,15,13,4
3,sa,1000,300,normal,87,0,16,14,4
3,sa,1000,300,normal,87,0,17,14,5
3,sa,1000,300,normal,87,0,18,15,5
3,sa,1000,300,normal,87,0,19,16,5
3,sa,1000,300,normal,87,0,20,17,5
3,sa,1000,300,normal,87,0,21,17,6
3,sa,1000,300,normal,87,0,22,16,6
3,sa,1000,300,normal,87,0,23,15,6
3,sa,1000,300,normal,87,0,24,15,5
3,sa,1000,300,normal,87,0,25,15,4
3,sa,1000,300,normal,87,0,26,15,3
3,sa,1000,300,normal,87,0,27,15,2
3,sa,1000,300,normal,87,0,28,16,2
3,sa,1000,300,normal,87,0,29,16,3
3,sa,1000,300,normal,87,0,30,17,3
3,sa,1000,300,normal,87,0,31,17,4
3,sa,1000,300,normal,87,0,32,18,4
3,sa,1000,300,normal,87,0,33,18,5
3,sa,1000,300,normal,87,0,34,18,6
3,sa,1000,300,normal,87,0,35,19,6
3,sa,1000,300,normal,87,0,36,18,6
3,sa,1000,300,normal,87,0,37,18,5
3,sa,1000,300,normal,87,0,38,17,5
3,sa,1000,300,normal,87,0,39,17,6
3,sa,1000,300,normal,87,0,40,16,6
3,sa,1000,300,normal,87,0,41,15,6
3,sa,1000,300,normal,87,0,42,15,5
3,sa,1000,300,normal,87,0,43,15,4
3,sa,1000,300,normal,87,0,44,15,3
3,sa,1000,300,normal,87,0,45,14,3
3,sa,1000,300,normal,87,0,46,13,3
3,sa,1000,300,normal,87,0,47,13,2
3,sa,1000,300,normal,87,0,48,13,1
3,sa,1000,300,normal,87,0,49,13,0
3,sa,1000,300,normal,87,0,50,14,0
3,sa,1000,300,normal,87,0,51,14,1
3,sa,1000,300,normal,87,0,52,14,2
3,sa,1000,300,normal,87,0,53,15,2
3,sa,1000,300,normal,87,0,54,16,2
3,sa,1000,300,normal,87,0,55,16,3
3,sa,1000,300,normal,87,0,56,16,4
3,sa,1000,300,normal,87,0,57,17,4
3,sa,1000,300,normal,87,0,58,17,5
3,sa,1000,300,normal,87,0,59,17,6
3,sa,1000,300,normal,87,0,60,18,6
3,sa,1000,300,normal,87,0,61,19,6
3,sa,1000,300,normal,87,0,62,18,6
3,sa,1000,300,normal,87,0,63,18,5
3,sa,1000,300,normal,87,0,64,18,4
3,sa,1000,300,normal,87,0,65,19,4
3,sa,1000,300,normal,87,0,66,19,3
3,sa,1000,300,normal,87,0,67,20,3
3,sa,1000,300,normal,87,0,68,21,3
3,sa,1000,300,normal,87,0,69,22,3
3,sa,1000,300,normal,87,0,70,23,3
3,sa,1000,300,normal,87,0,71,24,3
3,sa,1000,300,normal,87,0,72,24,2
3,sa,1000,300,normal,87,0,73,25,2
